CSI amplitudes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,state
100,16,15,14,14,13,12,11,11,10,10,10,10,10,10,11,11,12,12,12,12,11,11,11,11,11,11,11,10,11,11,11,11,12,11,13,12,12,12,13,12,13,14,13,14,14,14,15,15,15,16,17,17,0
101,14,13,12,12,11,10,10,9,9,9,9,9,9,9,9,10,10,9,11,10,10,10,9,9,10,9,9,9,9,9,10,10,10,10,10,10,10,11,10,11,10,11,12,12,12,12,13,14,15,16,16,16,0
102,14,13,12,12,11,10,9,9,9,9,9,9,10,10,10,9,9,9,10,10,9,9,9,10,10,9,9,9,10,10,10,11,11,10,11,11,11,11,11,11,11,12,13,13,13,13,14,13,15,15,16,16,0
103,14,14,13,13,12,11,10,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,11,10,10,11,11,11,12,13,13,13,13,13,14,14,14,15,15,15,16,17,17,0
104,14,12,13,12,11,11,9,9,9,9,9,9,9,10,10,11,11,11,11,10,11,11,10,11,11,11,10,10,11,11,11,12,12,12,11,13,13,13,13,13,13,13,15,14,15,14,16,15,17,17,17,17,0
105,14,12,13,12,11,10,10,9,9,9,9,10,10,11,10,11,11,10,10,12,10,11,10,11,11,11,11,11,10,11,11,12,13,12,13,13,13,13,14,14,14,14,15,14,15,16,16,17,17,17,18,18,0
106,13,12,12,11,11,9,9,8,8,8,8,8,9,9,9,10,10,9,10,10,10,9,9,9,9,9,10,10,10,10,11,12,11,12,10,10,12,13,13,13,13,13,14,14,16,15,17,16,17,17,18,18,0
107,13,13,12,10,9,10,8,8,8,8,8,9,9,9,10,10,10,10,11,11,11,10,10,10,10,10,10,11,12,11,12,12,12,13,11,13,13,13,14,14,14,15,16,15,16,16,17,18,18,19,19,20,0
108,10,9,9,8,7,7,7,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,13,12,13,14,14,15,0
109,13,11,11,11,9,9,9,7,7,7,8,8,8,9,8,9,9,9,9,9,10,10,9,9,10,9,10,10,11,11,11,12,13,13,13,13,13,13,13,13,14,15,16,15,16,16,16,17,17,18,18,19,0
110,11,11,10,9,8,7,7,6,6,5,5,5,6,7,8,8,8,7,8,9,7,8,7,9,8,8,9,9,9,9,9,10,10,10,10,10,11,12,13,13,13,13,14,14,15,14,16,16,16,16,17,17,0
111,13,12,11,11,10,9,7,6,7,6,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,12,12,13,13,14,14,13,15,15,16,16,16,16,17,17,17,18,19,0
112,12,11,10,9,8,7,6,6,5,6,5,5,7,7,7,7,8,8,9,9,9,8,8,9,8,8,9,9,9,9,10,10,10,11,11,12,12,12,13,13,13,14,14,15,15,14,16,16,16,17,19,19,0
113,13,13,12,11,10,8,8,7,7,6,7,7,7,7,8,9,8,8,9,9,9,9,9,9,9,9,9,9,11,10,10,11,11,11,11,11,11,13,13,13,14,14,14,14,16,15,16,16,16,17,17,19,0
114,13,12,11,11,10,9,8,8,7,6,6,6,6,7,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,12,12,13,13,13,14,14,14,15,15,15,15,17,17,0
115,14,13,13,12,11,9,8,8,7,6,7,7,7,7,8,8,9,9,9,9,9,8,9,9,9,9,9,10,10,10,11,11,11,11,12,12,12,12,13,13,14,14,14,15,15,15,16,16,17,18,18,19,0
116,14,14,13,11,11,9,8,8,7,7,7,6,7,7,7,8,8,8,9,9,9,9,9,8,8,8,9,10,9,10,9,11,11,10,11,11,12,13,13,13,13,12,14,14,14,14,15,15,16,17,17,17,0
117,15,15,14,12,11,11,11,9,8,7,9,9,8,9,9,9,10,10,9,11,10,10,10,9,10,10,10,10,11,11,12,12,12,12,11,13,13,13,13,14,14,15,15,15,16,16,15,16,17,18,18,18,0
118,17,16,15,15,12,11,10,9,9,9,8,9,9,9,9,10,10,10,11,10,10,10,9,11,10,10,11,10,11,11,11,11,12,11,12,11,13,13,13,14,13,14,14,15,16,14,16,16,16,16,18,19,0
119,16,16,16,14,13,12,10,10,9,9,9,9,9,10,9,11,10,10,10,11,12,11,11,11,11,10,11,11,11,11,12,12,13,12,12,13,13,13,13,14,14,14,15,15,16,15,16,16,17,18,18,18,0
120,12,17,13,12,12,11,10,10,9,9,8,8,8,8,9,10,11,9,11,10,11,10,9,10,9,11,10,10,11,11,12,11,11,11,11,11,12,12,12,13,12,13,13,13,13,13,14,14,15,16,16,17,0
121,16,11,17,17,13,11,10,11,9,10,10,9,9,9,10,12,11,11,11,12,11,11,12,10,11,11,12,11,10,12,11,12,12,13,16,14,13,12,13,14,14,15,15,15,15,15,16,16,17,18,18,18,0
122,16,15,13,13,11,10,9,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,9,10,9,9,9,10,10,10,10,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,14,14,15,17,17,17,0
123,16,16,15,14,13,11,10,9,9,9,9,9,9,10,10,11,10,11,11,11,10,10,10,10,10,9,10,11,11,11,11,11,11,11,11,11,13,12,13,13,13,13,13,14,14,14,14,15,15,16,17,17,0
