amp-ave,amp-sd,phase-ave,phase-sd,group
14.072,4.918,1.064,0.254,2
20.852,6.759,-2.344,0.251,2
16.66,5.339,2.18,0.249,2
18.389,6.147,-0.986,0.242,2
19.159,6.114,-2.48,0.225,2
17.8,6.155,0.293,0.295,2
20.985,6.886,-1.409,0.231,2
19.39,6.559,1.191,0.243,2
18.859,6.124,-2.783,0.261,2
18.188,6.281,-0.792,0.267,2
20.756,6.851,1.588,2.375,2
18.518,6.34,-1.041,0.233,2
17.969,6.402,-0.168,0.28,2
20.207,6.929,1.745,0.299,2
18.137,6.376,-0.389,0.278,2
20.919,6.876,0.497,2.941,2
18.261,6.275,-1.098,0.243,2
19.733,7.035,0.61,0.276,2
18.422,6.349,-0.772,0.271,2
20.985,7.051,2.492,0.263,2
18.023,6.139,2.125,0.233,2
18.999,6.272,0.591,2.936,2
19.009,6.2,-2.101,0.259,2
20.856,6.988,-2.695,0.249,2
20.836,6.986,-1.849,0.231,2
20.198,7.004,-0.299,0.246,2
18.508,6.174,-2.224,0.257,2
15.883,5.678,0.792,0.287,2
18.226,6.259,-0.924,0.246,2
20.237,7.2,0.537,0.271,2
21.195,6.94,-2.717,0.248,2
21.229,6.992,1.597,2.358,2
15.676,5.581,0.183,0.259,2
17.668,6.221,0.44,0.248,2
17.822,6.272,0.156,0.242,2
21.319,6.947,-2.825,0.235,2
17.41,5.955,0.984,0.276,2
16.268,5.608,0.514,0.234,2
17.53,5.891,0.396,0.24,2
17.856,5.643,1.879,0.244,2
19.074,5.895,-0.924,0.189,2
19.558,5.648,1.878,2.132,2
17.866,5.516,-0.142,0.229,2
18.648,5.483,-0.1,0.177,2
19.905,5.75,1.075,0.217,2
20.818,5.763,1.628,2.433,2
19.678,5.7,-0.932,0.205,2
17.027,5.119,-0.301,0.233,2
19.709,5.729,1.544,2.398,2
16.537,5.279,0.56,0.214,2
17.589,5.353,-0.763,0.215,2
20.746,6.268,2.55,0.221,2
19.264,6.01,-2.72,0.219,2
17.234,5.637,-2.867,0.234,2
20.174,6.524,-2.285,0.214,2
19.458,6.203,1.007,0.219,2
18.583,5.438,1.653,0.204,2
19.209,5.305,-2.312,0.172,2
18.676,5.216,-2.178,0.189,2
19.455,5.725,1.155,0.169,2
18.205,5.857,1.731,0.206,2
19.878,6.374,1.154,0.17,2
18.564,5.618,2.472,0.166,2
19.203,5.675,1.437,0.169,2
20.203,5.684,-0.24,0.174,2
21.132,5.369,0.392,0.173,2
20.009,4.739,-0.148,0.142,2
20.221,5.303,-2.3,0.156,2
17.173,4.829,2.128,0.179,2
17.23,5.161,1.036,0.176,2
18.876,5.988,0.848,0.175,2
22.742,5.903,0.336,3.019,2
21.829,4.972,0.445,3.02,2
17.772,4.083,1.906,0.137,2
18.483,4.126,0.201,3.057,2
21.525,5.524,-2.182,0.151,2
18.486,5.098,1.617,0.167,2
16.934,5.024,-0.367,0.15,2
18.672,5.454,-0.503,0.14,2
17.256,4.967,-1.022,0.144,2
19.081,5.165,2.674,0.196,2
19.925,5.208,2.198,0.187,2
21.329,4.93,-0.664,0.11,2
21.289,4.851,0.99,0.116,2
